본부,지사,영업소,주소,우편번호(5자리),영업소코드,영업소명
수도권,시흥,서서울,경기도 안산시 상록구 장하로 141-2,15208,253,서서울
수도권,군포,군자,경기도 시흥시 군자로335번길 36-29,15004,254,군자
수도권,군포,서안산,경기도 안산시 단원구 시흥대로 19-30,15210,255,서안산
수도권,군포,안산,경기도 안산시 오리골길 15-1,15208,256,안산
수도권,군포,군포,경기도 군포시 영동고속도로 26,15884,215,군포
수도권,군포,동군포,경기도 군포시 영동고속도로 25,15878,214,동군포
수도권,군포,부곡,경기도 의왕시 덕영대로 77,16079,213,부곡
수도권,군포,북수원,경기도 수원시 장안구 영동고속도로 31,16201,212,북수원
수도권,군포,동수원,경기도 수원시 영통구 영동고속도로 36,16226,102,동수원
수도권,군포,마성,경기도 용인시 처인구 포곡읍 마성로 1,17024,171,마성
수도권,화성,서평택,경기도 평택시 포승읍 포승향남로 194-88,17951,285,서평택
수도권,화성,발안,경기도 화성시 팔탄면 3.1만세로 879-40(매곡리 44-1),18534,283,발안
수도권,화성,비봉,경기도 화성시 비봉면 화성로 2011(구포리 58-3),18291,282,비봉
수도권,화성,매송,경기도 화성시 매송면 푸른들판로 2060(송라리 산17-1),18286,281,매송
수도권,화성,청북,경기도 평택시 청북읍 서해로 1865-90,17794,540,청북
수도권,화성,평택고덕,경기도 평택시 고덕면 궁2길 37-84,17821,741,평택고덕
수도권,화성,송탄,경기도 평택시 청원로 1744-73(도일동 산219-2),17725,541,송탄
수도권,화성,서안성,경기도 안성시 원곡면 평택제천고속도로 25,17555,542,서안성
수도권,화성,남안성,경기도 안성시 미양면 평택제천고속도로 35,17600,543,남안성
수도권,화성,평택,경기도 평택시 청북읍 백봉길 178-54(백봉리 646-1),17798,520,평택
수도권,수원,오산,경기도 오산시 원동로 105(원동),18150,106,오산
수도권,수원,기흥,경기도 용인시 기흥구 기흥단지로 7 (고매동),17086,105,기흥
수도권,수원,기흥동탄,경기도 용인시 기흥구 경부고속도로 387번지 (고매동),17102,528,기흥동탄
수도권,수원,수원신갈,경기도 용인시 기흥구 하갈로 240 (상갈동),17096,103,수원신갈
수도권,수원,서울,경기도 성남시 분당구 대왕판교로 240 (궁내동),13550,101,서울
수도권,경기광주,서이천,경기도 이천시 마장면 서이천로 663(장암리 346-1),17383,194,서이천
수도권,경기광주,곤지암,경기도 광주시 곤지암읍 경충대로 811-73(삼리 378),12805,192,곤지암
수도권,경기광주,경기광주,경기도 광주시 남한산성면 해공로 55(상번천리 518),12705,191,경기광주
수도권,경기광주,동서울,경기도 하남시 중부고속도로 115(하산곡동),13024,190,동서울
강원,원주,여주,경기도 여주시 장여로 1758,12653,177,여주
강원,원주,문막,강원도 원주시 문막읍 원문로 1723,26372,178,문막
강원,원주,원주,강원도 원주시 노하길 26,26311,180,원주
강원,원주,새말,강원도 횡성군 우천면 영동고속도로 143,25248,181,새말
강원,원주,둔내,강원도 횡성군 둔내면 영동고속도로 161,25266,182,둔내
강원,대관령,면온,강원도 평창군 봉평면 태기로 627,25309,183,면온
강원,대관령,평창,강원도 평창군 용평면 금송길 22,25315,185,평창
강원,대관령,속사,강원도 평창군 용평면 양지길 30-28,25312,186,속사
강원,대관령,진부,강원도 평창군 진부면 까치골길 43-8,25323,187,진부
강원,대관령,대관령,강원도 평창군 대관령면 오리골길 44,25347,184,대관령
강원,홍천,북원주,강원도 원주시 호저면 평천1길 24-23,26303,217,북원주
강원,홍천,횡성,강원도 횡성군 횡성읍 중앙고속도로 51,25210,216,횡성
강원,홍천,홍천,강원도 홍천군 홍천읍 설악로 1351-20,25117,179,홍천
강원,홍천,춘천,강원도 춘천시 동내면 고은길 88,24399,174,춘천
강원,춘천,남양주,경기도 남양주시 와부읍 월문천로 280-63,12203,651,남양주
강원,춘천,화도,경기도 남양주시 화도읍 폭포로 137-50,12196,652,화도
강원,춘천,서종,경기도 양평군 서종면 북한강로 1138-27,12500,653,서종
강원,춘천,설악,경기도 가평군 설악면 유명로 1584,12467,654,설악
강원,춘천,강촌,강원도 춘천시 남면 한덕발산길 1302-5,24468,655,강촌
